ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,Player_URL,Image_URL,Photo_Local
330,Pol Lirola,es ESP,"MF,DF",Marseille,22,1997,19,17,"1,553",17.3,2,2,4,2,0,0,3,0,0.12,0.12,0.23,0.12,0.23,Matches,https://fbref.com/en/players/ff800ed8/Pol-Lirola,https://fbref.com/req/202302030/images/headshots/ff800ed8_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Pol_Lirola.jpg
331,Anthony Lopes,pt POR,GK,Lyon,29,1990,38,38,"3,420",38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/f00de885/Anthony-Lopes,https://fbref.com/req/202302030/images/headshots/f00de885_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Anthony_Lopes.jpg
332,Rony Lopes,pt POR,"FW,MF",Nice,24,1995,28,23,"1,783",19.8,3,1,4,3,0,0,1,0,0.15,0.05,0.2,0.15,0.2,Matches,https://fbref.com/en/players/7c2965bb/Rony-Lopes,https://fbref.com/req/202302030/images/headshots/7c2965bb_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Rony_Lopes.jpg
333,Maxime Lopez,fr FRA,FW,Marseille,22,1997,4,2,134,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/20094685/Maxime-Lopez,https://fbref.com/req/202302030/images/headshots/20094685_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Maxime_Lopez.jpg
334,Dion Lopy,sn SEN,MF,Reims,18,2002,4,3,256,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/64c14d49/Dion-Lopy,https://fbref.com/req/202302030/images/headshots/64c14d49_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Dion_Lopy.jpg
335,Jordan Lotomba,ch SUI,"DF,MF",Nice,21,1998,30,24,"2,123",23.6,1,0,1,1,0,0,7,1,0.04,0.0,0.04,0.04,0.04,Matches,https://fbref.com/en/players/fc4cf6a7/Jordan-Lotomba,https://fbref.com/req/202302030/images/headshots/fc4cf6a7_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jordan_Lotomba.jpg
336,Adrien Louveau,fr FRA,MF,Lens,20,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/85847c67/Adrien-Louveau,https://fbref.com/req/202302030/images/headshots/85847c67_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Adrien_Louveau.jpg
337,Imran Louza,ma MAR,MF,Nantes,21,1999,33,28,"2,379",26.4,7,2,9,2,5,5,4,1,0.26,0.08,0.34,0.08,0.15,Matches,https://fbref.com/en/players/e1df6989/Imran-Louza,https://fbref.com/req/202302030/images/headshots/e1df6989_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Imran_Louza.jpg
338,Jean Lucas,br BRA,MF,Lyon,22,1998,8,1,172,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a99138af/Jean-Lucas,https://fbref.com/req/202302030/images/headshots/a99138af_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jean_Lucas.jpg
339,Jean Lucas,br BRA,MF,Brest,22,1998,16,11,"1,011",11.2,0,2,2,0,0,0,4,1,0.0,0.18,0.18,0.0,0.18,Matches,https://fbref.com/en/players/a99138af/Jean-Lucas,https://fbref.com/req/202302030/images/headshots/a99138af_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jean_Lucas.jpg
340,Florentino Luís,pt POR,MF,Monaco,20,1999,9,2,241,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/881cd6be/Florentino-Luis,https://fbref.com/req/202302030/images/headshots/881cd6be_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Florentino_Luís.jpg
341,Yann M'Vila,fr FRA,MF,Saint-Étienne,30,1990,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/d4133fa1/Yann-MVila,https://fbref.com/req/202302030/images/headshots/d4133fa1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yann_M'Vila.jpg
342,Yvann Macon,fr FRA,DF,Saint-Étienne,21,1998,6,6,539,6.0,1,1,2,1,0,0,2,0,0.17,0.17,0.33,0.17,0.33,Matches,https://fbref.com/en/players/0bb6e193/Yvann-Macon,https://fbref.com/req/202302030/images/headshots/0bb6e193_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yvann_Macon.jpg
343,Hugo Magnetti,fr FRA,MF,Brest,22,1998,13,7,603,6.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/d4d35152/Hugo-Magnetti,https://fbref.com/req/202302030/images/headshots/d4d35152_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Hugo_Magnetti.jpg
344,Hicham Mahou,fr FRA,"FW,MF",Nice,21,1999,2,0,34,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/f329ec76/Hicham-Mahou,https://fbref.com/req/202302030/images/headshots/f329ec76_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Hicham_Mahou.jpg
