ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,Player_URL,Image_URL,Photo_Local
380,Birger Meling,no NOR,DF,Nîmes,25,1994,26,26,"2,328",25.9,2,3,5,2,0,0,4,0,0.08,0.12,0.19,0.08,0.19,Matches,https://fbref.com/en/players/70c52749/Birger-Meling,https://fbref.com/req/202302030/images/headshots/70c52749_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Birger_Meling.jpg
381,Memphis,nl NED,"FW,MF",Lyon,26,1994,37,33,"2,923",32.5,20,12,32,12,8,8,4,0,0.62,0.37,0.99,0.37,0.74,Matches,https://fbref.com/en/players/8f696594/Memphis,https://fbref.com/req/202302030/images/headshots/8f696594_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Memphis.jpg
382,Houboulang Mendes,gw GNB,DF,Lorient,22,1998,17,15,"1,297",14.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/1545cf15/Houboulang-Mendes,https://fbref.com/req/202302030/images/headshots/1545cf15_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Houboulang_Mendes.jpg
383,Pedro Mendes,pt POR,DF,Montpellier,29,1990,22,19,"1,626",18.1,2,0,2,2,0,0,5,0,0.11,0.0,0.11,0.11,0.11,Matches,https://fbref.com/en/players/6690ef25/Pedro-Mendes,https://fbref.com/req/202302030/images/headshots/6690ef25_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Pedro_Mendes.jpg
384,Thiago Mendes,br BRA,MF,Lyon,28,1992,32,23,"2,243",24.9,0,1,1,0,0,0,5,1,0.0,0.04,0.04,0.0,0.04,Matches,https://fbref.com/en/players/c6e5d20f/Thiago-Mendes,https://fbref.com/req/202302030/images/headshots/c6e5d20f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Thiago_Mendes.jpg
385,Batista Mendy,fr FRA,"DF,MF",Nantes,20,2000,2,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/e472a6f6/Batista-Mendy,https://fbref.com/req/202302030/images/headshots/e472a6f6_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Batista_Mendy.jpg
386,Edouard Mendy,sn SEN,GK,Rennes,28,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/33887998/Edouard-Mendy,https://fbref.com/req/202302030/images/headshots/33887998_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Edouard_Mendy.jpg
387,Mexer,mz MOZ,DF,Bordeaux,31,1988,9,8,712,7.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/ce492295/Mexer,https://fbref.com/req/202302030/images/headshots/ce492295_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mexer.jpg
388,Clément Michelin,fr FRA,"MF,DF",Lens,23,1997,26,13,"1,154",12.8,0,4,4,0,0,0,3,2,0.0,0.31,0.31,0.0,0.31,Matches,https://fbref.com/en/players/cb9ec45d/Clement-Michelin,https://fbref.com/req/202302030/images/headshots/cb9ec45d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Clément_Michelin.jpg
389,Edouard Michut,fr FRA,MF,Paris Saint-Germain,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/fe6c1add/Edouard-Michut,,
390,Florian Miguel,fr FRA,DF,Nîmes,23,1996,21,18,"1,538",17.1,0,0,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/b66d1d8a/Florian-Miguel,https://fbref.com/req/202302030/images/headshots/b66d1d8a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Florian_Miguel.jpg
391,Arkadiusz Milik,pl POL,FW,Marseille,26,1994,15,14,"1,220",13.6,9,1,10,6,3,3,2,0,0.66,0.07,0.74,0.44,0.52,Matches,https://fbref.com/en/players/85613cf0/Arkadiusz-Milik,https://fbref.com/req/202302030/images/headshots/85613cf0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Arkadiusz_Milik.jpg
392,Enzo Millot,fr FRA,MF,Monaco,18,2002,2,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/f76022e7/Enzo-Millot,https://fbref.com/req/202302030/images/headshots/f76022e7_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Enzo_Millot.jpg
393,Stefan Mitrović,rs SRB,DF,Strasbourg,30,1990,32,31,"2,784",30.9,2,0,2,2,0,0,3,1,0.06,0.0,0.06,0.06,0.06,Matches,https://fbref.com/en/players/e6777e6b/Stefan-Mitrovic,https://fbref.com/req/202302030/images/headshots/e6777e6b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Stefan_Mitrović.jpg
394,Anthony Modeste,fr FRA,FW,Saint-Étienne,32,1988,7,3,293,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/34e4343c/Anthony-Modeste,https://fbref.com/req/202302030/images/headshots/34e4343c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Anthony_Modeste.jpg
395,Terem Moffi,ng NGA,FW,Lorient,21,1999,32,26,"2,073",23.0,14,2,16,13,1,1,2,0,0.61,0.09,0.69,0.56,0.65,Matches,https://fbref.com/en/players/065dc209/Terem-Moffi,https://fbref.com/req/202302030/images/headshots/065dc209_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Terem_Moffi.jpg
396,Florent Mollet,fr FRA,MF,Montpellier,28,1991,34,30,"2,355",26.2,3,5,8,3,0,0,5,2,0.11,0.19,0.31,0.11,0.31,Matches,https://fbref.com/en/players/7e82a78f/Florent-Mollet,https://fbref.com/req/202302030/images/headshots/7e82a78f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Florent_Mollet.jpg
397,Thomas Monconduit,fr FRA,MF,Lorient,29,1991,27,12,"1,153",12.8,2,0,2,2,0,0,4,0,0.16,0.0,0.16,0.16,0.16,Matches,https://fbref.com/en/players/84d94b91/Thomas-Monconduit,https://fbref.com/req/202302030/images/headshots/84d94b91_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Thomas_Monconduit.jpg
398,Kévin Monnet-Paquet,fr FRA,MF,Saint-Étienne,31,1988,16,7,564,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/4a57580c/Kevin-Monnet-Paquet,https://fbref.com/req/202302030/images/headshots/4a57580c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Kévin_Monnet-Paquet.jpg
399,Jérémy Morel,mg MAD,DF,Lorient,36,1984,28,28,"2,493",27.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/e97150c0/Jeremy-Morel,https://fbref.com/req/202302030/images/headshots/e97150c0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jérémy_Morel.jpg
400,Aimen Moueffek,fr FRA,"DF,MF",Saint-Étienne,19,2001,19,6,743,8.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2591b066/Aimen-Moueffek,https://fbref.com/req/202302030/images/headshots/2591b066_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Aimen_Moueffek.jpg
401,Harold Moukoudi,cm CMR,DF,Saint-Étienne,22,1997,26,26,"2,276",25.3,3,1,4,3,0,0,6,0,0.12,0.04,0.16,0.12,0.16,Matches,https://fbref.com/en/players/5f26e0c5/Harold-Moukoudi,https://fbref.com/req/202302030/images/headshots/5f26e0c5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Harold_Moukoudi.jpg
402,Jessy Moulin,fr FRA,GK,Saint-Étienne,34,1986,29,29,"2,610",29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/28a65a2c/Jessy-Moulin,https://fbref.com/req/202302030/images/headshots/28a65a2c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jessy_Moulin.jpg
403,Steve Mounié,bj BEN,FW,Brest,25,1994,35,31,"2,680",29.8,9,4,13,8,1,2,6,0,0.3,0.13,0.44,0.27,0.4,Matches,https://fbref.com/en/players/19ba6c6d/Steve-Mounie,https://fbref.com/req/202302030/images/headshots/19ba6c6d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Steve_Mounié.jpg
404,Samuel Moutoussamy,cd COD,FW,Nantes,23,1996,1,1,82,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/af0c835b/Samuel-Moutoussamy,https://fbref.com/req/202302030/images/headshots/af0c835b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Samuel_Moutoussamy.jpg
405,Loris Mouyokolo,fr FRA,DF,Lorient,19,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/96726741/Loris-Mouyokolo,https://fbref.com/req/202302030/images/headshots/96726741_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Loris_Mouyokolo.jpg
406,Marshall Munetsi,zw ZIM,"MF,DF",Reims,24,1996,27,21,"1,928",21.4,1,0,1,1,0,0,7,1,0.05,0.0,0.05,0.05,0.05,Matches,https://fbref.com/en/players/2acf0cd7/Marshall-Munetsi,https://fbref.com/req/202302030/images/headshots/2acf0cd7_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Marshall_Munetsi.jpg
407,Kévin N'Doram,fr FRA,MF,Metz,24,1996,6,4,307,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/e50623a0/Kevin-NDoram,https://fbref.com/req/202302030/images/headshots/e50623a0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Kévin_N'Doram.jpg
408,Stanley N'Soki,fr FRA,DF,Nice,21,1999,18,13,"1,246",13.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/61590953/Stanley-NSoki,https://fbref.com/req/202302030/images/headshots/61590953_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Stanley_N'Soki.jpg
409,Yuto Nagatomo,jp JPN,"DF,MF",Marseille,33,1986,25,20,"1,594",17.7,0,1,1,0,0,0,2,0,0.0,0.06,0.06,0.0,0.06,Matches,https://fbref.com/en/players/4b6960d2/Yuto-Nagatomo,https://fbref.com/req/202302030/images/headshots/4b6960d2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yuto_Nagatomo.jpg
410,Kenny Nagera,fr FRA,FW,Paris Saint-Germain,18,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/833ce5f0/Kenny-Nagera,https://fbref.com/req/202302030/images/headshots/833ce5f0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Kenny_Nagera.jpg
411,Paul Nardi,fr FRA,GK,Lorient,26,1994,23,23,"2,070",23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2d70dbe5/Paul-Nardi,https://fbref.com/req/202302030/images/headshots/2d70dbe5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Paul_Nardi.jpg
412,Keylor Navas,cr CRC,GK,Paris Saint-Germain,33,1986,29,29,"2,520",28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/ecada4fc/Keylor-Navas,https://fbref.com/req/202302030/images/headshots/ecada4fc_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Keylor_Navas.jpg
413,Papa Ndiaga Yade,mr MTN,"FW,MF",Metz,20,2000,28,9,"1,001",11.1,3,4,7,3,0,0,4,0,0.27,0.36,0.63,0.27,0.63,Matches,https://fbref.com/en/players/87e9c7cd/Papa-Ndiaga-Yade,https://fbref.com/req/202302030/images/headshots/87e9c7cd_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Papa_Ndiaga_Yade.jpg
414,Bridge Ndilu,fr FRA,FW,Nantes,20,2000,6,0,42,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/602fc7b5/Bridge-Ndilu,https://fbref.com/req/202302030/images/headshots/602fc7b5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Bridge_Ndilu.jpg
415,Dan Ndoye,ch SUI,"MF,FW",Nice,19,2000,28,3,551,6.1,1,1,2,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,Matches,https://fbref.com/en/players/8e697a8f/Dan-Ndoye,https://fbref.com/req/202302030/images/headshots/8e697a8f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Dan_Ndoye.jpg
416,Neymar,br BRA,"MF,FW",Paris Saint-Germain,28,1992,18,15,"1,415",15.7,9,5,14,4,5,6,7,2,0.57,0.32,0.89,0.25,0.57,Matches,https://fbref.com/en/players/69384e5d/Neymar,https://fbref.com/req/202302030/images/headshots/69384e5d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Neymar.jpg
417,Yvan Neyou,cm CMR,MF,Saint-Étienne,23,1997,31,29,"2,438",27.1,1,2,3,1,0,0,9,0,0.04,0.07,0.11,0.04,0.11,Matches,https://fbref.com/en/players/0ad37003/Yvan-Neyou,https://fbref.com/req/202302030/images/headshots/0ad37003_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yvan_Neyou.jpg
418,Muzinga Ngonda,cd COD,DF,Dijon,25,1994,30,25,"2,307",25.6,2,0,2,2,0,0,5,0,0.08,0.0,0.08,0.08,0.08,Matches,https://fbref.com/en/players/b748968d/Muzinga-Ngonda,https://fbref.com/req/202302030/images/headshots/b748968d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Muzinga_Ngonda.jpg
419,Ahmad Ngouyamsa,td CHA,DF,Dijon,19,2000,3,2,157,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/8413ceb1/Ahmad-Ngouyamsa,https://fbref.com/req/202302030/images/headshots/8413ceb1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ahmad_Ngouyamsa.jpg
420,Opa Nguette,sn SEN,"FW,MF",Metz,26,1994,16,13,"1,132",12.6,3,1,4,3,0,1,0,0,0.24,0.08,0.32,0.24,0.32,Matches,https://fbref.com/en/players/75a63397/Opa-Nguette,https://fbref.com/req/202302030/images/headshots/75a63397_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Opa_Nguette.jpg
421,Ibrahima Niane,sn SEN,FW,Metz,21,1999,10,9,663,7.4,6,0,6,5,1,1,0,0,0.81,0.0,0.81,0.68,0.68,Matches,https://fbref.com/en/players/46faabfa/Ibrahima-Niane,https://fbref.com/req/202302030/images/headshots/46faabfa_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ibrahima_Niane.jpg
422,M'Baye Niang,sn SEN,FW,Rennes,25,1994,9,4,422,4.7,1,0,1,1,0,0,0,0,0.21,0.0,0.21,0.21,0.21,Matches,https://fbref.com/en/players/2054d037/MBaye-Niang,https://fbref.com/req/202302030/images/headshots/2054d037_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\M'Baye_Niang.jpg
423,Casimir Ninga,td CHA,"FW,MF",Angers,27,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/91f2da4c/Casimir-Ninga,https://fbref.com/req/202302030/images/headshots/91f2da4c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Casimir_Ninga.jpg
424,Arnaud Nordin,fr FRA,"MF,FW",Saint-Étienne,22,1998,32,20,"1,771",19.7,4,4,8,4,0,0,1,0,0.2,0.2,0.41,0.2,0.41,Matches,https://fbref.com/en/players/7b9a9e25/Arnaud-Nordin,https://fbref.com/req/202302030/images/headshots/7b9a9e25_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Arnaud_Nordin.jpg
425,Olivier Ntcham,cm CMR,MF,Marseille,24,1996,4,2,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/6554bb97/Olivier-Ntcham,https://fbref.com/req/202302030/images/headshots/6554bb97_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Olivier_Ntcham.jpg
426,Gerzino Nyamsi,cm CMR,DF,Rennes,23,1997,14,10,871,9.7,1,0,1,1,0,0,2,0,0.1,0.0,0.1,0.1,0.1,Matches,https://fbref.com/en/players/6043997c/Gerzino-Nyamsi,https://fbref.com/req/202302030/images/headshots/6043997c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Gerzino_Nyamsi.jpg
427,Steven Nzonzi,fr FRA,MF,Rennes,31,1988,34,33,"2,908",32.3,1,1,2,1,0,0,8,1,0.03,0.03,0.06,0.03,0.06,Matches,https://fbref.com/en/players/c7526c18/Steven-Nzonzi,https://fbref.com/req/202302030/images/headshots/c7526c18_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Steven_Nzonzi.jpg
428,Jonas Omlin,ch SUI,GK,Montpellier,26,1994,31,31,"2,673",29.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/c631f952/Jonas-Omlin,https://fbref.com/req/202302030/images/headshots/c631f952_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jonas_Omlin.jpg
429,Henry Onyekuru,ng NGA,FW,Monaco,23,1997,4,2,140,1.6,0,1,1,0,0,0,0,0,0.0,0.64,0.64,0.0,0.64,Matches,https://fbref.com/en/players/e90dc1d5/Henry-Onyekuru,https://fbref.com/req/202302030/images/headshots/e90dc1d5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Henry_Onyekuru.jpg
430,Otávio,br BRA,MF,Bordeaux,26,1994,18,18,"1,559",17.3,1,0,1,1,0,0,6,0,0.06,0.0,0.06,0.06,0.06,Matches,https://fbref.com/en/players/243f4a0b/Otavio,https://fbref.com/req/202302030/images/headshots/243f4a0b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Otávio.jpg
431,Remi Oudin,fr FRA,"MF,FW",Bordeaux,23,1996,38,27,"2,420",26.9,4,4,8,4,0,0,2,0,0.15,0.15,0.3,0.15,0.3,Matches,https://fbref.com/en/players/ea02beaf/Remi-Oudin,https://fbref.com/req/202302030/images/headshots/ea02beaf_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Remi_Oudin.jpg
432,Alexandre Oukidja,dz ALG,GK,Metz,32,1988,34,34,"3,058",34.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/ae7d0ecd/Alexandre-Oukidja,https://fbref.com/req/202302030/images/headshots/ae7d0ecd_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Alexandre_Oukidja.jpg
433,Zinédine Ould Khaled,fr FRA,MF,Angers,20,2000,3,0,38,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/6b4436ba/Zinedine-Ould-Khaled,https://fbref.com/req/202302030/images/headshots/6b4436ba_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Zinédine_Ould_Khaled.jpg
434,Ambroise Oyongo,cm CMR,"DF,MF",Montpellier,29,1991,13,5,558,6.2,1,1,2,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches,https://fbref.com/en/players/e3e05edf/Ambroise-Oyongo,https://fbref.com/req/202302030/images/headshots/e3e05edf_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ambroise_Oyongo.jpg
435,Pablo,br BRA,DF,Bordeaux,29,1991,13,12,"1,076",12.0,1,0,1,1,0,0,5,0,0.08,0.0,0.08,0.08,0.08,Matches,https://fbref.com/en/players/29d8ad3f/Pablo,https://fbref.com/req/202302030/images/headshots/29d8ad3f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Pablo.jpg
436,Vincent Pajot,fr FRA,MF,Metz,29,1990,12,11,914,10.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/f86ca403/Vincent-Pajot,https://fbref.com/req/202302030/images/headshots/f86ca403_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Vincent_Pajot.jpg
437,Nicolas Pallois,fr FRA,DF,Nantes,32,1987,32,31,"2,776",30.8,2,0,2,2,0,0,8,1,0.06,0.0,0.06,0.06,0.06,Matches,https://fbref.com/en/players/779847d6/Nicolas-Pallois,https://fbref.com/req/202302030/images/headshots/779847d6_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Nicolas_Pallois.jpg
438,Jonathan Panzo,eng ENG,DF,Dijon,19,2000,22,21,"1,801",20.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/c795c408/Jonathan-Panzo,https://fbref.com/req/202302030/images/headshots/c795c408_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jonathan_Panzo.jpg
439,Lucas Paquetá,br BRA,MF,Lyon,22,1997,30,27,"2,275",25.3,9,5,14,9,0,0,6,1,0.36,0.2,0.55,0.36,0.55,Matches,https://fbref.com/en/players/9b6f7fd5/Lucas-Paqueta,https://fbref.com/req/202302030/images/headshots/9b6f7fd5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Lucas_Paquetá.jpg
440,Gaëtan Paquiez,fr FRA,DF,Nîmes,26,1994,16,11,"1,046",11.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/475583ff/Gaetan-Paquiez,https://fbref.com/req/202302030/images/headshots/475583ff_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Gaëtan_Paquiez.jpg
441,Rubén Pardo,es ESP,MF,Bordeaux,27,1992,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2306bfde/Ruben-Pardo,https://fbref.com/req/202302030/images/headshots/2306bfde_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Rubén_Pardo.jpg
442,Leandro Paredes,ar ARG,MF,Paris Saint-Germain,26,1994,21,16,"1,302",14.5,1,2,3,1,0,0,7,1,0.07,0.14,0.21,0.07,0.21,Matches,https://fbref.com/en/players/dff153a4/Leandro-Paredes,https://fbref.com/req/202302030/images/headshots/dff153a4_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Leandro_Paredes.jpg
443,Mateo Pavlović,ba BIH,DF,Angers,30,1990,14,12,"1,104",12.3,0,1,1,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08,Matches,https://fbref.com/en/players/450e277f/Mateo-Pavlovic,https://fbref.com/req/202302030/images/headshots/450e277f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mateo_Pavlović.jpg
444,Strahinja Pavlović,rs SRB,DF,Monaco,19,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/25146df0/Strahinja-Pavlovic,https://fbref.com/req/202302030/images/headshots/25146df0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Strahinja_Pavlović.jpg
445,Dimitri Payet,fr FRA,"MF,FW",Marseille,33,1987,33,28,"2,417",26.9,7,10,17,7,0,1,4,2,0.26,0.37,0.63,0.26,0.63,Matches,https://fbref.com/en/players/58ae47b2/Dimitri-Payet,https://fbref.com/req/202302030/images/headshots/58ae47b2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Dimitri_Payet.jpg
446,Yohann Pelé,fr FRA,GK,Marseille,37,1982,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/76806215/Yohann-Pele,https://fbref.com/req/202302030/images/headshots/76806215_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yohann_Pelé.jpg
447,Pietro Pellegri,it ITA,FW,Monaco,19,2001,16,0,230,2.6,1,0,1,1,0,0,2,1,0.39,0.0,0.39,0.39,0.39,Matches,https://fbref.com/en/players/a44d3a3c/Pietro-Pellegri,https://fbref.com/req/202302030/images/headshots/a44d3a3c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Pietro_Pellegri.jpg
448,Andy Pelmard,mg MAD,DF,Nice,20,2000,19,12,"1,207",13.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/f18d7ab2/Andy-Pelmard,https://fbref.com/req/202302030/images/headshots/f18d7ab2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Andy_Pelmard.jpg
449,Timothee Pembele,fr FRA,"DF,MF",Paris Saint-Germain,17,2002,6,3,383,4.3,1,0,1,1,0,0,1,0,0.23,0.0,0.23,0.23,0.23,Matches,https://fbref.com/en/players/f8ce97ca/Timothee-Pembele,https://fbref.com/req/202302030/images/headshots/f8ce97ca_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Timothee_Pembele.jpg
450,Danilo Pereira,pt POR,"MF,DF",Paris Saint-Germain,28,1991,23,16,"1,430",15.9,2,1,3,2,0,0,3,0,0.13,0.06,0.19,0.13,0.19,Matches,https://fbref.com/en/players/8fd9996f/Danilo-Pereira,https://fbref.com/req/202302030/images/headshots/8fd9996f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Danilo_Pereira.jpg
451,Mathias Pereira Lage,pt POR,MF,Angers,23,1996,28,16,"1,467",16.3,4,1,5,4,0,0,5,0,0.25,0.06,0.31,0.25,0.31,Matches,https://fbref.com/en/players/8846a40f/Mathias-Pereira-Lage,https://fbref.com/req/202302030/images/headshots/8846a40f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mathias_Pereira_Lage.jpg
