Player,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Position
Vitaliy Mykolenko,26.84,26,26,2328,25.9,0,1,1,0,0,0,5,0,0.0,0.04,0.04,0.0,0.04,Defenseur
David Møller Wolfe,23.93,18,9,846,9.4,0,2,2,0,0,0,1,0,0.0,0.21,0.21,0.0,0.21,Milieu
Iliman Ndiaye,26.07,25,25,2148,23.9,6,3,9,4,2,2,2,0,0.25,0.13,0.38,0.17,0.29,Milieu
Dan Ndoye,25.43,23,14,1171,13.0,1,1,2,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,Milieu
Dan Neil,24.29,3,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Reiss Nelson,26.3,7,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Attaquant
Pedro Neto,26.06,29,25,2209,24.5,5,4,9,5,0,0,4,1,0.2,0.16,0.37,0.2,0.37,Milieu
Luca Netz,22.87,2,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Rio Ngumoha,17.58,13,1,229,2.5,1,0,1,1,0,0,0,0,0.39,0.0,0.39,0.39,0.39,Milieu
Eddie Nketiah,26.83,12,2,424,4.7,2,0,2,2,0,0,2,0,0.42,0.0,0.42,0.42,0.42,Milieu
Lukas Nmecha,27.29,25,9,880,9.8,6,1,7,4,2,3,0,0,0.61,0.1,0.72,0.41,0.51,Attaquant
Matheus Nunes,27.59,27,25,2265,25.2,1,4,5,1,0,0,4,0,0.04,0.16,0.2,0.04,0.2,Defenseur
Ethan Nwaneri,19.02,6,0,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Trey Nyoni,18.75,4,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Christian Nørgaard,32.05,6,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Jake O'Brien,24.87,30,28,2548,28.3,0,1,1,0,0,0,2,1,0.0,0.04,0.04,0.0,0.04,Defenseur
Luke O'Nien,31.35,8,2,231,2.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,Defenseur
Matt O'Riley,25.35,4,2,187,2.1,1,0,1,0,1,1,0,0,0.48,0.0,0.48,0.0,0.0,Milieu
Wilson Odobert,21.33,24,10,985,10.9,0,2,2,0,0,0,0,0,0.0,0.18,0.18,0.0,0.18,Milieu
Noah Okafor,25.85,24,15,1295,14.4,4,0,4,4,0,0,3,0,0.28,0.0,0.28,0.28,0.28,Attaquant
Callum Olusesi,19.2,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Amadou Onana,24.62,22,19,1560,17.3,2,0,2,2,0,0,2,0,0.12,0.0,0.12,0.12,0.12,Milieu
Frank Onyeka,28.24,6,0,92,1.0,0,1,1,0,0,0,0,0,0.0,0.98,0.98,0.0,0.98,Milieu
Nehemiah Oriola,18.8,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Stefan Ortega,33.39,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Gardien
William Osula,22.65,17,1,295,3.3,2,0,2,2,0,0,0,0,0.61,0.0,0.61,0.61,0.61,Attaquant
Dango Ouattara,24.13,25,19,1714,19.0,5,3,8,5,0,0,4,0,0.26,0.16,0.42,0.26,0.42,Milieu
Nico O’Reilly,21.02,28,23,2133,23.7,4,3,7,4,0,0,4,0,0.17,0.13,0.3,0.17,0.3,Defenseur
Pablo,22.24,7,5,405,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
João Palhinha,30.72,26,19,1779,19.8,3,2,5,3,0,0,6,0,0.15,0.1,0.25,0.15,0.25,Milieu
Cole Palmer,23.9,20,18,1417,15.7,9,1,10,4,5,5,4,0,0.57,0.06,0.64,0.25,0.32,Milieu
Lucas Paquetá,28.59,18,18,1511,16.8,4,1,5,2,2,2,7,1,0.24,0.06,0.3,0.12,0.18,Milieu
Nathan Patterson,24.45,6,3,240,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Myles Peart-Harris,23.53,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Lucas Perri,28.3,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Gardien
Đorđe Petrović,26.47,31,31,2790,31.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Gardien
Jordan Pickford,32.06,31,31,2790,31.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Gardien
Ethan Pinnock,32.84,4,4,318,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Yeremi Pino,23.44,27,21,1721,19.1,2,1,3,2,0,0,4,0,0.1,0.05,0.16,0.1,0.16,Milieu
Joël Piroe,26.66,13,2,226,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Attaquant
Nick Pope,33.94,22,22,1966,21.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Gardien
Pedro Porro,26.54,27,25,2166,24.1,0,2,2,0,0,0,6,0,0.0,0.08,0.08,0.0,0.08,Defenseur
Freddie Potts,22.54,20,12,1146,12.7,0,1,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08,Milieu
Aaron Ramsdale,27.88,10,9,824,9.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Gardien
Jacob Ramsey,24.84,21,11,1081,12.0,2,1,3,2,0,0,5,1,0.17,0.08,0.25,0.17,0.25,Milieu
David Raya,30.54,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Gardien
Rayan,19.65,8,7,623,6.9,2,1,3,2,0,0,1,0,0.29,0.14,0.43,0.29,0.43,Milieu
Harrison Reed,31.17,6,0,31,0.3,1,0,1,1,0,0,0,0,2.9,0.0,2.9,2.9,2.9,Milieu
Tijjani Reijnders,27.67,26,17,1496,16.6,5,2,7,5,0,0,2,0,0.3,0.12,0.42,0.3,0.42,Milieu
Chadi Riad,22.78,6,3,314,3.5,0,1,1,0,0,0,2,0,0.0,0.29,0.29,0.0,0.29,Defenseur
Declan Rice,27.21,30,29,2581,28.7,4,5,9,4,0,0,2,0,0.14,0.17,0.31,0.14,0.31,Milieu
Chris Richards,26.01,26,26,2332,25.9,1,0,1,1,0,0,3,0,0.04,0.0,0.04,0.04,0.04,Defenseur
Richarlison,28.89,26,15,1511,16.8,9,3,12,9,0,0,5,0,0.54,0.18,0.71,0.54,0.71,Attaquant
Chris Rigg,18.78,13,8,558,6.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Patrick Roberts,29.15,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Attaquant
Andrew Robertson,32.05,19,6,775,8.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Antonee Robinson,28.64,15,12,1044,11.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Kaden Rodney,21.48,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Joe Rodon,28.44,29,29,2545,28.3,2,0,2,2,0,0,1,0,0.07,0.0,0.07,0.07,0.07,Defenseur
Rodri,29.77,18,14,1244,13.8,1,0,1,1,0,0,2,0,0.07,0.0,0.07,0.07,0.07,Milieu
Guido Rodríguez,31.96,6,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Milieu
Robin Roefs,23.2,28,28,2520,28.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Gardien
Morgan Rogers,23.68,31,31,2753,30.6,8,5,13,8,0,0,6,0,0.26,0.16,0.42,0.26,0.42,Milieu
Merlin Röhl,23.73,12,2,366,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Cristian Romero,27.92,22,21,1799,20.0,4,1,5,4,0,0,10,2,0.2,0.05,0.25,0.2,0.25,Defenseur
James Rowswell,19.71,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Georginio Rutter,23.94,25,19,1603,17.8,2,2,4,2,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Milieu
José Sá,33.2,19,19,1710,19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Gardien
Noah Sadiki,21.28,26,26,2292,25.5,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,Milieu
Bukayo Saka,24.56,27,22,1998,22.2,6,3,9,5,1,1,1,0,0.27,0.14,0.41,0.23,0.36,Attaquant
Mohamed Salah,33.79,22,19,1819,20.2,5,6,11,4,1,1,1,0,0.25,0.3,0.54,0.2,0.49,Milieu
William Saliba,25.02,25,24,2074,23.0,1,0,1,1,0,0,1,0,0.04,0.0,0.04,0.04,0.04,Defenseur
Robert Sánchez,28.36,29,29,2524,28.0,0,1,1,0,0,0,3,1,0.0,0.04,0.04,0.0,0.04,Gardien
Jadon Sancho,26.01,19,8,763,8.5,0,2,2,0,0,0,0,0,0.0,0.24,0.24,0.0,0.24,Milieu
Ibrahim Sangaré,28.32,23,21,1765,19.6,2,2,4,2,0,0,5,0,0.1,0.1,0.2,0.1,0.2,Milieu
Andrey Santos,21.91,23,10,1009,11.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Milieu
Ismaila Sarr,28.09,20,20,1725,19.2,7,1,8,5,2,2,2,0,0.37,0.05,0.42,0.26,0.31,Milieu
Mamadou Sarr,20.58,2,1,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Sávio,21.97,17,5,573,6.4,0,1,1,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16,Milieu
Nicolò Savona,23.03,14,11,1028,11.4,2,0,2,2,0,0,2,0,0.18,0.0,0.18,0.18,0.18,Defenseur
Oliver Scarles,20.3,12,9,656,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Dane Scarlett,22.02,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Attaquant
Kevin Schade,24.34,28,26,2206,24.5,7,3,10,7,0,1,6,1,0.29,0.12,0.41,0.29,0.41,Milieu
