Player,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Position
Jurriën Timber,24.78,30,28,2454,27.3,3,5,8,3,0,0,5,0,0.11,0.18,0.29,0.11,0.29,Defenseur
Jean-Clair Todibo,26.25,20,20,1698,18.9,0,1,1,0,0,0,4,1,0.0,0.05,0.05,0.0,0.05,Defenseur
Sandro Tonali,25.89,29,25,2038,22.6,0,2,2,0,0,0,3,0,0.0,0.09,0.09,0.0,0.09,Milieu
Pau Torres,29.2,17,15,1388,15.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Alex Tóth,20.43,4,1,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Milieu
James Trafford,23.47,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Gardien
Adama Traoré,30.18,15,1,274,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Adama Traoré,30.18,7,0,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Attaquant
Bertrand Traoré,30.56,12,9,632,7.0,1,0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,Milieu
Mike Trésor,26.84,4,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Attaquant
Kieran Trippier,35.53,18,17,1456,16.2,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,Defenseur
Leandro Trossard,31.32,26,18,1677,18.6,5,5,10,5,0,0,1,0,0.27,0.27,0.54,0.27,0.54,Attaquant
Adrien Truffert,24.36,31,31,2749,30.5,0,3,3,0,0,0,3,0,0.0,0.1,0.1,0.0,0.1,Defenseur
Axel Tuanzebe,28.37,11,11,931,10.3,1,0,1,1,0,0,1,0,0.1,0.0,0.1,0.1,0.1,Defenseur
Stefanos Tzimas,20.23,9,1,139,1.5,1,1,2,1,0,0,0,0,0.65,0.65,1.29,0.65,1.29,Attaquant
Christantus Uche,22.86,14,0,173,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Attaquant
Destiny Udogie,23.33,14,8,843,9.4,0,1,1,0,0,0,3,0,0.0,0.11,0.11,0.0,0.11,Defenseur
Manuel Ugarte,24.97,21,7,797,8.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Milieu
Lesley Ugochukwu,22.01,30,22,1973,21.9,3,1,4,3,0,0,3,1,0.14,0.05,0.18,0.14,0.18,Milieu
Enes Ünal,28.89,17,0,186,2.1,1,0,1,1,0,0,1,0,0.48,0.0,0.48,0.48,0.48,Attaquant
Hákon Valdimarsson,24.46,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Gardien
Virgil van Dijk,34.73,31,31,2790,31.0,3,0,3,3,0,0,4,0,0.1,0.0,0.1,0.1,0.1,Defenseur
Joël Veltman,34.2,19,8,850,9.4,1,0,1,1,0,0,4,0,0.11,0.0,0.11,0.11,0.11,Defenseur
Micky van de Ven,24.94,28,28,2411,26.8,4,1,5,4,0,0,7,1,0.15,0.04,0.19,0.15,0.19,Defenseur
Bart Verbruggen,23.61,31,31,2790,31.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Gardien
Guglielmo Vicario,29.48,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Gardien
Kyle Walker,35.84,29,29,2547,28.3,0,2,2,0,0,0,8,0,0.0,0.07,0.07,0.0,0.07,Defenseur
Kyle Walker-Peters,28.96,18,10,959,10.7,1,0,1,1,0,0,2,0,0.09,0.0,0.09,0.09,0.09,Defenseur
Aaron Wan-Bissaka,28.34,22,21,1903,21.1,0,2,2,0,0,0,4,0,0.0,0.09,0.09,0.0,0.09,Defenseur
James Ward-Prowse,31.41,5,5,413,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
James Ward-Prowse,31.41,6,3,317,3.5,0,1,1,0,0,0,1,0,0.0,0.28,0.28,0.0,0.28,Milieu
Ollie Watkins,30.25,30,27,2293,25.5,9,1,10,9,0,0,3,0,0.35,0.04,0.39,0.35,0.39,Attaquant
Tom Watson,19.97,6,0,62,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Milieu
Danny Welbeck,35.34,30,20,1826,20.3,12,0,12,11,1,3,5,0,0.59,0.0,0.59,0.54,0.54,Attaquant
Adam Wharton,22.14,27,26,2163,24.0,0,5,5,0,0,0,6,1,0.0,0.21,0.21,0.0,0.21,Milieu
Ben White,28.47,7,5,411,4.6,0,1,1,0,0,0,0,0,0.0,0.22,0.22,0.0,0.22,Defenseur
Mats Wieffer,26.37,21,18,1571,17.5,0,3,3,0,0,0,7,0,0.0,0.17,0.17,0.0,0.17,Defenseur
Neco Williams,24.96,30,30,2618,29.1,1,3,4,1,0,0,5,1,0.03,0.1,0.14,0.03,0.14,Defenseur
Estêvão Willian,18.93,20,10,767,8.5,2,2,4,2,0,0,3,0,0.23,0.23,0.47,0.23,0.47,Milieu
Joe Willock,26.61,20,7,703,7.8,0,1,1,0,0,0,3,0,0.0,0.13,0.13,0.0,0.13,Milieu
Callum Wilson,34.08,25,10,1049,11.7,5,1,6,5,0,0,0,0,0.43,0.09,0.51,0.43,0.51,Attaquant
Harry Wilson,29.02,29,27,2259,25.1,10,6,16,10,0,0,6,0,0.4,0.24,0.64,0.4,0.64,Milieu
Ben Winterburn,21.57,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Florian Wirtz,22.91,27,23,2004,22.3,4,2,6,4,0,0,1,0,0.18,0.09,0.27,0.18,0.27,Milieu
Yoane Wissa,29.57,13,4,431,4.8,1,0,1,1,0,0,1,0,0.21,0.0,0.21,0.21,0.21,Attaquant
Nick Woltemade,24.12,27,21,1664,18.5,7,3,10,6,1,1,0,0,0.38,0.16,0.54,0.32,0.49,Attaquant
Chris Wood,34.31,8,7,540,6.0,2,0,2,2,0,0,0,0,0.33,0.0,0.33,0.33,0.33,Attaquant
Joe Worrall,29.22,11,5,500,5.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Granit Xhaka,33.5,27,25,2274,25.3,1,5,6,1,0,0,5,0,0.04,0.2,0.24,0.04,0.24,Milieu
Yehor Yarmoliuk,22.08,31,24,2133,23.7,1,2,3,1,0,0,7,0,0.04,0.08,0.13,0.04,0.13,Milieu
Ryan Yates,28.35,16,1,415,4.6,0,1,1,0,0,0,1,0,0.0,0.22,0.22,0.0,0.22,Milieu
Leny Yoro,20.38,28,17,1615,17.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Oleksandr Zinchenko,29.29,5,4,353,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Joshua Zirkzee,24.85,18,4,523,5.8,2,1,3,2,0,0,1,0,0.34,0.17,0.52,0.34,0.52,Attaquant
Martín Zubimendi,27.15,31,30,2596,28.8,5,1,6,5,0,0,4,0,0.17,0.03,0.21,0.17,0.21,Milieu
Martin Ødegaard,27.28,20,13,1076,12.0,1,5,6,1,0,0,0,0,0.08,0.42,0.5,0.08,0.5,Milieu
